kernel,kernel_latex,n_trials,ape_mean_m,ape_std_m,ape_median_m,wins_vs_baseline,win_rate,wilcoxon_p
gaussian,Gaussian,100,0.631084452985453,0.4341264740817124,0.49872551020148204,,,
geman_mcclure,Geman--McClure,100,0.8284466430575165,0.6583182898307397,0.6821962654548359,32,0.32,7.376188806993486e-07
ggd,\gls{ggd},100,0.3638360607713444,0.30072349142859384,0.2732946115863894,78,0.78,5.196491457758375e-10
huber,Huber,100,0.6310856362149209,0.43412602111835946,0.49871305709669317,46,0.46,0.9291771347193478
tukey,Tukey,100,0.7970051812843895,0.5975023241575654,0.6800517780370496,32,0.32,6.750537934136497e-09
