kernel,kernel_latex,n_trials,ape_mean_m,ape_std_m,ape_median_m,wins_vs_baseline,win_rate,wilcoxon_p
gaussian,Gaussian,100,0.6614869670629777,0.6422788678806547,0.4477153294347508,,,
geman_mcclure,Geman--McClure,100,0.6775571618034326,0.695792722542414,0.3985916344162982,60,0.6,0.13384519328331276
ggd,\gls{ggd},100,0.7008232086861785,0.9182915532115643,0.34416645853260464,54,0.54,0.4787621325036495
huber,Huber,100,0.6613176752055374,0.6422761753509942,0.4477017763926027,33,0.33,0.9269543750571365
tukey,Tukey,100,0.6815233649938954,0.6927604494870675,0.34352979168967246,63,0.63,0.033310305938449254
