kernel,kernel_latex,n_trials,ape_mean_m,ape_std_m,ape_median_m,wins_vs_baseline,win_rate,wilcoxon_p
gaussian,Gaussian,100,0.7398278264416034,0.5097802162968872,0.6880668405465564,,,
geman_mcclure,Geman--McClure,100,0.8949796019021757,0.6768340641809798,0.8220837601076999,41,0.41,0.00015334083624479904
ggd,\gls{ggd},100,0.41438638220655877,0.37264506073513226,0.3011774774125891,79,0.79,1.4051360614769775e-09
huber,Huber,100,0.7398322092472996,0.5097844562014603,0.6880869118888465,41,0.41,0.38239299798501614
tukey,Tukey,100,0.8880184556805277,0.6308651283210761,0.8097852224825001,35,0.35,2.644424255489033e-07
