kernel,num_tests,ape_mean_m_mean,ape_mean_m_std,ape_mean_m_median,ape_mean_m_q25,ape_mean_m_q75,ape_rmse_m_mean,ape_rmse_m_std,ape_rmse_m_median,ape_rmse_m_q25,ape_rmse_m_q75,ape_max_m_mean,ape_max_m_std,ape_max_m_median,ape_max_m_q25,ape_max_m_q75,mse_m2_mean,mse_m2_std,mse_m2_median,mse_m2_q25,mse_m2_q75
gaussian,30,0.825748313845219,0.5576595941508118,0.7436665719070139,0.3758973186487682,0.9850687393285869,0.9705175762263457,0.6209825410253085,0.949320432427176,0.529341242081544,1.1317240485698006,1.817863491756029,1.0247055582831883,1.828196793259813,1.1220355399871034,2.54969292398159,1.3146697048139013,1.5825234769786665,0.901808805930413,0.280316737670035,1.2808048002564996
geman_mcclure,30,1.0179014554274894,0.704259050077961,0.9978443650337272,0.32860080997474284,1.6094151785050164,1.1903602710459096,0.77905080015155,1.1482270842657338,0.4275269878632907,1.770670576969524,2.1217679715311375,1.1978189081755652,2.3968585220060343,0.9308476393082937,2.77103123960656,2.003647052460703,1.9703072542515463,1.3244646217845184,0.21849954158903728,3.1361640388607754
ggd,30,0.3797797677382606,0.2687449103896357,0.3238832518517945,0.19835173903323003,0.5700758631620818,0.44418357739677905,0.30715773484516684,0.36488106110602314,0.2388842657547126,0.7210167836418906,0.8531922685658195,0.5302013935178335,0.7529809048765201,0.4804711941550187,1.2499459483351494,0.28850006203504036,0.3384630723032468,0.13317841818714282,0.0570720730137195,0.5316656694925631
huber,30,0.8257612186932939,0.5576658026011732,0.7436771538573888,0.37591646725661426,0.9851167836577053,0.9705346820709182,0.6209915512380532,0.9493150640737543,0.5293518794129942,1.131724459786316,1.8178850849643606,1.0247259102168627,1.8281923724609315,1.1221068827610634,2.54969292398159,1.3147137255879073,1.5825714267349646,0.9017992291655436,0.280328254450373,1.2808057276903209
tukey,30,1.009327429666084,0.6652178425589871,0.971551886576894,0.3683173798508737,1.5696467776890217,1.1877005377469994,0.7408265104242849,1.1500968827050349,0.5023407539999725,1.6725052930640274,2.150556984356174,1.1665127162597508,2.3769712459913133,1.1503598863083113,2.8811302366639353,1.9411623552936874,1.9267385048199759,1.3227337794439775,0.2654472705579462,2.798023940060881
